age	year common era	
maximum density	gram per decimeter	
total ring width	millimeter	Tree ID: 1236123a;
total ring width	millimeter	Tree ID: 1236123b;
total ring width	millimeter	Tree ID: 1236123c;
total ring width	millimeter	Tree ID: 1236123d;
total ring width	millimeter	Tree ID: 1236124z;
total ring width	millimeter	Tree ID: 1236125b;
total ring width	millimeter	Tree ID: 1236125c;
total ring width	millimeter	Tree ID: 1236201a;
total ring width	millimeter	Tree ID: 1236201b;
total ring width	millimeter	Tree ID: 1236202a;
total ring width	millimeter	Tree ID: 1236202b;
total ring width	millimeter	Tree ID: 1236202c;
total ring width	millimeter	Tree ID: 1236203a;
total ring width	millimeter	Tree ID: 1236203b;
total ring width	millimeter	Tree ID: 1236204a;
total ring width	millimeter	Tree ID: 1236204b;
total ring width	millimeter	Tree ID: 1236205a;
total ring width	millimeter	Tree ID: 1236205b;
total ring width	millimeter	Tree ID: 1236206a;
total ring width	millimeter	Tree ID: 1236206b;
total ring width	millimeter	Tree ID: 1236206c;
total ring width	millimeter	Tree ID: 1236207a;
total ring width	millimeter	Tree ID: 1236207b;
total ring width	millimeter	Tree ID: 1236207c;
total ring width	millimeter	Tree ID: 1236208a;
total ring width	millimeter	Tree ID: 1236208b;
total ring width	millimeter	Tree ID: 1236209a;
total ring width	millimeter	Tree ID: 1236209b;
total ring width	millimeter	Tree ID: 1236209c;
total ring width	millimeter	Tree ID: 1236210a;
total ring width	millimeter	Tree ID: 1236210b;
total ring width	millimeter	Tree ID: 1236211a;
total ring width	millimeter	Tree ID: 1236211b;
total ring width	millimeter	Tree ID: 1236211c;
total ring width	millimeter	Tree ID: 1236212c;
total ring width	millimeter	Tree ID: 1236213a;
total ring width	millimeter	Tree ID: 1236213b;
total ring width	millimeter	Tree ID: 1236213c;
total ring width	millimeter	Tree ID: 1236214a;
total ring width	millimeter	Tree ID: 1236214b;
total ring width	millimeter	Tree ID: 1236214c;
total ring width	millimeter	Tree ID: 1236215a;
total ring width	millimeter	Tree ID: 1236215c;
total ring width	millimeter	Tree ID: 1236215d;
total ring width	millimeter	Tree ID: 1236216a;
total ring width	millimeter	Tree ID: 1236216b;
total ring width	millimeter	Tree ID: 1236216c;
total ring width	millimeter	Tree ID: 1236217a;
